lang,date,count
pt,2025-01-01 09:11:10+00:00,55
pt,2025-01-06 12:23:04+00:00,56
pt,2025-01-17 11:57:48+00:00,57
pt,2025-01-21 12:59:17+00:00,58
pt,2025-01-21 14:30:26+00:00,59
pt,2025-01-24 12:20:03+00:00,60
pt,2025-01-24 13:36:35+00:00,61
pt,2025-01-24 15:19:12+00:00,62
pt,2025-01-24 16:02:26+00:00,63
pt,2025-01-24 19:25:26+00:00,64
pt,2025-01-26 16:14:08+00:00,65
pt,2025-01-31 12:17:05+00:00,66
pt,2025-01-31 15:15:09+00:00,67
pt,2025-01-31 17:06:27+00:00,68
pt,2025-01-31 18:19:20+00:00,69
pt,2025-01-31 18:26:55+00:00,70
pt,2025-01-31 18:31:50+00:00,71
pt,2025-01-31 19:31:44+00:00,72
pt,2025-01-31 19:48:24+00:00,73
pt,2025-01-31 20:08:03+00:00,74
pt,2025-01-31 20:42:43+00:00,75
pt,2025-01-31 21:24:05+00:00,76
pt,2025-01-31 21:30:10+00:00,77
pt,2025-01-31 21:33:29+00:00,78
pt,2025-01-31 21:41:31+00:00,79
pt,2025-01-31 22:16:21+00:00,80
pt,2025-02-01 03:27:39+00:00,81
pt,2025-02-04 13:39:29+00:00,82
pt,2025-02-04 16:45:12+00:00,83
pt,2025-02-04 16:48:26+00:00,84
pt,2025-02-04 16:53:41+00:00,85
pt,2025-02-04 16:58:05+00:00,86
pt,2025-02-06 12:34:38+00:00,87
pt,2025-02-10 10:30:01+00:00,88
pt,2025-02-10 11:30:37+00:00,89
pt,2025-02-10 11:46:22+00:00,90
pt,2025-02-10 11:59:19+00:00,91
pt,2025-02-10 12:11:23+00:00,92
pt,2025-02-10 12:32:05+00:00,93
pt,2025-02-10 13:24:48+00:00,94
pt,2025-02-10 14:49:52+00:00,95
pt,2025-02-11 22:44:27+00:00,96
pt,2025-02-12 16:17:31+00:00,97
pt,2025-02-13 17:17:05+00:00,98
pt,2025-02-15 11:50:42+00:00,99
pt,2025-02-15 18:14:25+00:00,100
pt,2025-02-17 15:57:48+00:00,101
pt,2025-02-18 00:10:59+00:00,102
pt,2025-02-19 18:52:51+00:00,103
pt,2025-02-20 13:10:59+00:00,104
pt,2025-02-21 00:21:39+00:00,105
pt,2025-02-21 20:35:04+00:00,106
pt,2025-02-22 12:53:25+00:00,107
pt,2025-02-22 13:37:57+00:00,108
pt,2025-02-22 14:28:57+00:00,109
pt,2025-02-25 13:27:04+00:00,110
pt,2025-02-27 11:09:25+00:00,111
pt,2025-02-28 12:55:18+00:00,112
pt,2025-02-28 19:23:00+00:00,113
pt,2025-03-01 16:56:40+00:00,114
pt,2025-03-10 13:26:03+00:00,115
pt,2025-03-11 00:57:03+00:00,116
pt,2025-03-13 17:09:00+00:00,117
pt,2025-03-15 00:37:06+00:00,118
pt,2025-03-18 00:35:39+00:00,119
pt,2025-03-20 12:46:50+00:00,120
pt,2025-03-20 20:03:34+00:00,121
pt,2025-03-21 05:52:48+00:00,122
pt,2025-03-21 13:42:45+00:00,123
pt,2025-03-21 15:37:58+00:00,124
pt,2025-03-26 21:06:35+00:00,125
pt,2025-04-14 11:26:08+00:00,126
pt,2025-04-14 11:41:54+00:00,127
pt,2025-04-14 11:49:38+00:00,128
pt,2025-04-14 17:59:46+00:00,129
pt,2025-04-14 20:04:03+00:00,130
pt,2025-04-15 10:59:05+00:00,131
pt,2025-04-15 11:20:14+00:00,132
pt,2025-04-15 11:42:17+00:00,133
pt,2025-04-22 19:26:00+00:00,134
pt,2025-04-24 20:50:33+00:00,135
pt,2025-04-25 17:12:17+00:00,136
pt,2025-04-29 18:27:29+00:00,137
pt,2025-05-03 14:05:07+00:00,138
pt,2025-05-03 14:48:45+00:00,139
pt,2025-05-06 12:32:47+00:00,140
pt,2025-05-07 13:43:16+00:00,141
pt,2025-05-07 13:48:40+00:00,142
pt,2025-05-07 15:27:41+00:00,143
pt,2025-05-08 11:11:50+00:00,144
pt,2025-05-13 10:32:28+00:00,145
pt,2025-05-13 10:40:44+00:00,146
pt,2025-05-13 11:15:34+00:00,147
pt,2025-05-15 16:26:05+00:00,148
pt,2025-05-16 17:47:31+00:00,149
pt,2025-05-20 22:52:52+00:00,150
pt,2025-05-21 20:58:17+00:00,151
pt,2025-05-25 16:34:49+00:00,152
pt,2025-05-27 08:34:10+00:00,153
